"marginal.Marginal R2","conditional.Conditional R2","model"
0.313129640940038,0.793267248835224,"log(tau+K)"
0.228092638459983,0.74275065695576,"log(r_O)"
0.369349495586557,0.817697805651168,"log(v_H)"
0.127458299913857,0.780967817367203,"log(avg. v_O)"
0.297327409686522,0.763922326720707,"log(max v_O)"
