   1.0000000000000000e+00	   3.2517585620891686e-03	   1.0000000000000001e-01	   2.8445435025992200e+01	   5.5005518716577739e-01	   2.0174387529027328e+01	   1.1097026508234052e+01	   1.0146475244337426e-01	   6.1734447285851712e-01	
   2.0000000000000000e+00	   2.3109908478355745e-03	   1.0000000000000001e-01	   3.9664315589810379e+01	   3.5711913363049957e-01	   6.1248083639371536e+01	   2.1872862565820736e+01	   6.1288495353394694e-02	   9.2206875546300571e-01	
   3.0000000000000000e+00	   3.7324263552401282e-03	   1.0000000000000001e-01	   2.6769900584259769e+00	   3.4391962353676703e-01	   4.7482405267828526e+01	   1.6330130944331788e+01	   9.7206744079192220e-02	   8.7347100635083097e-01	
   4.0000000000000000e+00	   5.3397812958890364e-03	   1.0000000000000001e-01	   3.5766958023463249e+00	   4.4097635572998728e-01	   3.6404805226835926e+01	   1.6053658339990101e+01	   1.0923607420672271e-01	   7.8746434963603518e-01	
   5.0000000000000000e+00	   4.2519294773375729e-03	   1.0000000000000001e-01	   1.2738014041417712e+01	   3.9587469123685803e-01	   6.2761649696082273e+01	   2.4845748694952416e+01	   8.5912046675852324e-02	   8.9601116839202832e-01	
   6.0000000000000000e+00	   5.1125225333889645e-03	   1.0000000000000001e-01	   4.3433426494416150e+00	   4.8670241536846559e-01	   3.6027737731345859e+01	   1.7534786974107632e+01	   5.7762685272993400e-02	   9.5866227179451990e-01	
   7.0000000000000000e+00	   5.4372044801609121e-03	   1.0000000000000001e-01	   1.1139107330448864e+01	   3.9301331503120185e-01	   6.4558909498384182e+01	   2.5372511036759313e+01	   8.2547425101569150e-02	   9.0231583820483618e-01	
   8.0000000000000000e+00	   2.8593816941141679e-03	   1.0000000000000001e-01	   1.7610177561368388e+00	   3.2489258067426985e-01	   8.6681852415827322e+01	   2.8162290729004333e+01	   8.4664049049711643e-02	   9.0023076030948612e-01	
   9.0000000000000000e+00	   6.2703771845507043e-03	   1.0000000000000001e-01	   4.3810603480056818e+00	   4.2473924772685817e-01	   2.3684443426291356e+01	   1.0059712683712322e+01	   1.1440560234595289e-01	   7.7925946482964203e-01	
   1.0000000000000000e+01	   2.7373562796346907e-03	   1.0000000000000001e-01	   7.6103371693261508e+00	   5.1524335169622837e-01	   1.0959758413994700e+02	   5.6469426590075692e+01	   5.2595126735210072e-02	   9.5490025355287556e-01	
   1.1000000000000000e+01	   3.5351475984266478e-03	   1.0000000000000001e-01	   4.9598431930928601e+00	   4.5519872839024561e-01	   6.6211693464362256e+01	   3.0139478669542434e+01	   5.9630979418149280e-02	   9.5018040237607126e-01	
   1.2000000000000000e+01	   3.9427112797512098e-03	   1.0000000000000001e-01	   4.3442141152117912e+00	   4.2832181339212455e-01	   6.0812810107669968e+01	   2.6047453102788118e+01	   7.1755343629573740e-02	   9.3271236000654567e-01	
