   1.0000000000000000e+00	   1.0000000000000000e+00	   3.9048971002605946e-03	   1.0000000000000001e-01	   6.3190759620367265e-01	   3.2082262210796914e-01	   1.0000000000000000e+02	   3.2082262210796912e+01	   7.0513067652974354e-02	   9.3583018017721908e-01	
   1.0000000000000000e+00	   2.0000000000000000e+00	   3.7142090745766487e-03	   1.0000000000000001e-01	   1.0876052271593892e+00	   3.2082262210796914e-01	   1.0000000000000000e+02	   3.2082262210796912e+01	   8.7019666561102077e-02	   9.0015017278530463e-01	
   1.0000000000000000e+00	   3.0000000000000000e+00	   3.8641504052754085e-03	   1.0000000000000001e-01	   5.8794633568770627e-01	   3.2082262210796914e-01	   1.0000000000000000e+02	   3.2082262210796912e+01	   6.6046727492019369e-02	   9.3723243833525438e-01	
   1.0000000000000000e+00	   4.0000000000000000e+00	   3.9221611578121561e-03	   1.0000000000000001e-01	   9.0971200975751287e-01	   3.2082262210796914e-01	   1.0000000000000000e+02	   3.2082262210796912e+01	   6.9898731374541487e-02	   9.3342407916561176e-01	
   2.0000000000000000e+00	   1.0000000000000000e+00	   4.0050364776512259e-03	   1.0000000000000001e-01	   9.5636061707220177e-01	   2.4516129032258063e-01	   9.0000000000000000e+01	   2.2064516129032256e+01	   9.0301058010256730e-02	   9.2839086987745578e-01	
   2.0000000000000000e+00	   2.0000000000000000e+00	   4.1213961331355983e-03	   1.0000000000000001e-01	   1.5954519090864741e+00	   2.4516129032258063e-01	   9.0000000000000000e+01	   2.2064516129032256e+01	   1.1361759892196306e-01	   8.9621623239029380e-01	
   2.0000000000000000e+00	   3.0000000000000000e+00	   3.7798598140094792e-03	   1.0000000000000001e-01	   1.2439869566783734e+00	   2.4516129032258063e-01	   9.0000000000000000e+01	   2.2064516129032256e+01	   1.0411965754271107e-01	   9.0461190455042240e-01	
   2.0000000000000000e+00	   4.0000000000000000e+00	   3.2908924464151953e-03	   1.0000000000000001e-01	   1.1996890554349313e+00	   2.4516129032258063e-01	   9.0000000000000000e+01	   2.2064516129032256e+01	   9.4888844602042013e-02	   9.0782028744732157e-01	
   3.0000000000000000e+00	   1.0000000000000000e+00	   2.1909195528752048e-03	   1.0000000000000001e-01	   2.2841704509622272e+00	   2.2406639004149378e-01	   1.3700000000000000e+02	   3.0697095435684648e+01	   1.1386911439636573e-01	   8.4431129107192848e-01	
   3.0000000000000000e+00	   2.0000000000000000e+00	   1.2046815642095311e-03	   1.0000000000000001e-01	   6.9304679047760507e+00	   2.2406639004149378e-01	   1.3700000000000000e+02	   3.0697095435684648e+01	   1.3767235624207799e-01	   5.4027255559563825e-01	
   3.0000000000000000e+00	   3.0000000000000000e+00	   1.4372014476044211e-03	   1.0000000000000001e-01	   4.9732389466343792e+00	   2.2406639004149378e-01	   1.3700000000000000e+02	   3.0697095435684648e+01	   1.1711336593854853e-01	   6.7776797581754944e-01	
   3.0000000000000000e+00	   4.0000000000000000e+00	   1.7460091411960236e-03	   1.0000000000000001e-01	   5.9727203246080292e+00	   2.2406639004149378e-01	   1.3700000000000000e+02	   3.0697095435684648e+01	   1.1182635019734233e-01	   7.7427424062124595e-01	
